Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
93.95,-1.16,-5.66,11.28,13.14,0.22,159.94,2.7,0
96.41,-1.94,-4.36,14.26,13.18,0.29,160.27,2.71,0
96.86,-1.93,-4.36,14.3,13.1,0.29,160.7,2.71,0
94.02,-1.91,-4.37,16.1,9.56,0.32,161.14,2.7,0
89.64,-1.89,-4.37,16.12,9.48,0.32,160.41,2.69,0
83.95,-1.84,-3.8,15.55,8.47,0.3,160.46,2.66,0
77.61,-1.75,-2.47,14.2,6.24,0.27,164.33,2.58,0
74.34,-1.74,-2.47,14.22,6.14,0.26,164.93,2.51,0
71.05,-1.73,-2.47,14.25,6.04,0.26,161.03,2.45,0
68.85,-1.72,-2.47,14.27,5.94,0.25,160.49,2.43,0
107.92,-2.38,-1.96,14.04,2.71,0.29,162.99,2.75,0
107.25,-2.62,-2.38,13.62,0.3,0.28,168.0,2.74,0
103.81,-2.6,-2.38,13.58,0.22,0.28,168.67,2.73,0
98.8,-2.58,-2.39,13.55,0.14,0.27,169.08,2.72,0
96.35,-2.56,-2.39,13.51,0.06,0.27,169.86,2.71,0
89.59,-2.53,-2.4,7.78,0.22,0.15,168.69,2.69,0
90.47,-2.51,-2.4,7.75,0.22,0.15,169.07,2.69,0
83.91,-2.52,-2.34,7.66,0.14,0.15,169.86,2.67,0
82.26,-2.78,-1.74,7.1,-0.54,0.14,170.64,2.66,0
80.08,-2.76,-1.74,7.07,-0.54,0.13,170.73,2.65,0
79.25,1.11,-4.4,1.69,0.43,0.03,169.33,2.65,0
77.72,1.12,-4.39,1.7,0.44,0.03,168.52,2.64,0
73.8,1.13,-4.39,1.71,0.46,0.03,167.36,2.63,0
